Id,Key,Name,Category,Symbol,Abstract,Url,DetailUrl,RateUrl,Rating,TopEffect,TopMedical,TopActivity
744,pluto-kush,Pluto Kush,Indica,Plu,,http://www.leafly.com/indica/pluto-kush,http://www.leafly.com/api/details/pluto-kush,http://www.leafly.com/me/create/pluto-kush,8.2,Lazy,Pain,Create art
185,poison-haze,Poison Haze,Sativa,Phz,,http://www.leafly.com/sativa/poison-haze,http://www.leafly.com/api/details/poison-haze,http://www.leafly.com/me/create/poison-haze,9,Energetic,Lack of appetite,Hang with friends
16298,popcorn-kush,Popcorn Kush,Indica,Pop,,http://www.leafly.com/indica/popcorn-kush,http://www.leafly.com/api/details/popcorn-kush,http://www.leafly.com/me/create/popcorn-kush,7.5,Hungry,Insomnia,N/A
74,pot-of-gold,Pot of Gold,Indica,Pog,"Pot of Gold is covered in resin and can be very sticky.  Hash and fruity taste when smoked, very quick to grab hold of your brain.",http://www.leafly.com/indica/pot-of-gold,http://www.leafly.com/api/details/pot-of-gold,http://www.leafly.com/me/create/pot-of-gold,8.6,Lazy,Pain,Relax at home
2094,power-kush,Power Kush,Indica,Pow,"A popular strain in Amsterdam, Power Kush has a THC content up to 16% and smells of strawberry and orange. ",http://www.leafly.com/indica/power-kush,http://www.leafly.com/api/details/power-kush,http://www.leafly.com/me/create/power-kush,7.8,Euphoric,Pain,Meditate
333,power-plant,Power Plant,Hybrid,Pow,,http://www.leafly.com/hybrid/power-plant,http://www.leafly.com/api/details/power-plant,http://www.leafly.com/me/create/power-plant,8.1,Talkative,Stress,Hang with friends
701,pre-98-bubba-kush,Pre 98 Bubba Kush,Indica,P98,,http://www.leafly.com/indica/pre-98-bubba-kush,http://www.leafly.com/api/details/pre-98-bubba-kush,http://www.leafly.com/me/create/pre-98-bubba-kush,7.9,Lazy,Pain,Get outdoors
367,pure-afghan,Pure Afghan,Indica,Pn,,http://www.leafly.com/indica/pure-afghan,http://www.leafly.com/api/details/pure-afghan,http://www.leafly.com/me/create/pure-afghan,8.7,Euphoric,Pain,Listen to music
397,pure-kush,Pure Kush,Indica,Pur,,http://www.leafly.com/indica/pure-kush,http://www.leafly.com/api/details/pure-kush,http://www.leafly.com/me/create/pure-kush,8,Sleepy,Insomnia,Watch a movie
685,pure-og,Pure OG,Indica,Pog,,http://www.leafly.com/indica/pure-og,http://www.leafly.com/api/details/pure-og,http://www.leafly.com/me/create/pure-og,6.6,Lazy,Stress,Play video games
7378,pure-power-plant,Pure Power Plant,Sativa,Pur,,http://www.leafly.com/sativa/pure-power-plant,http://www.leafly.com/api/details/pure-power-plant,http://www.leafly.com/me/create/pure-power-plant,8.6,Energetic,Stress,Get outdoors
61,purple-afghani,Purple Afghani,Indica,Pa,This Afghani is a mostly Indica inbred to produce thick and heavy buds. This variety has dark green leaves and calyxes that turn purple at flowering. Medium-high leaf to flower ratio with a subtle aroma and a very good high.,http://www.leafly.com/indica/purple-afghani,http://www.leafly.com/api/details/purple-afghani,http://www.leafly.com/me/create/purple-afghani,8.2,Lazy,Lack of appetite,Watch a movie
10572,purple-ak-47,Purple AK-47,Hybrid,P47,,http://www.leafly.com/hybrid/purple-ak-47,http://www.leafly.com/api/details/purple-ak-47,http://www.leafly.com/me/create/purple-ak-47,9.1,Euphoric,Pain,N/A
5322,purple-arrow,Purple Arrow,Hybrid,Pa,,http://www.leafly.com/hybrid/purple-arrow,http://www.leafly.com/api/details/purple-arrow,http://www.leafly.com/me/create/purple-arrow,8.6,Euphoric,Pain,N/A
1876,purple-buddha,Purple Buddha,Indica,Pb,Purple Buddha combines grape flavors of the Purps with the creamy berry tastes of Blue Buddha.,http://www.leafly.com/indica/purple-buddha,http://www.leafly.com/api/details/purple-buddha,http://www.leafly.com/me/create/purple-buddha,8.3,Euphoric,Anxiety,Relax at home
431,purple-candy,Purple Candy,Indica,Pc,,http://www.leafly.com/indica/purple-candy,http://www.leafly.com/api/details/purple-candy,http://www.leafly.com/me/create/purple-candy,8.3,Lazy,Insomnia,N/A
111,purple-cream,Purple Cream,Indica,Pc,,http://www.leafly.com/indica/purple-cream,http://www.leafly.com/api/details/purple-cream,http://www.leafly.com/me/create/purple-cream,8.8,Happy,Stress,Listen to music
234,purple-diesel,Purple Diesel,Sativa,Pd,,http://www.leafly.com/sativa/purple-diesel,http://www.leafly.com/api/details/purple-diesel,http://www.leafly.com/me/create/purple-diesel,8,Euphoric,Stress,Get outdoors
688,purple-dragon,Purple Dragon,Indica,Pd,,http://www.leafly.com/indica/purple-dragon,http://www.leafly.com/api/details/purple-dragon,http://www.leafly.com/me/create/purple-dragon,7.2,Euphoric,Stress,N/A
6083,purple-dream,Purple Dream,Hybrid,Pd,,http://www.leafly.com/hybrid/purple-dream,http://www.leafly.com/api/details/purple-dream,http://www.leafly.com/me/create/purple-dream,6.7,Lazy,Pain,N/A
408,purple-goo,Purple Goo,Indica,Pg,,http://www.leafly.com/indica/purple-goo,http://www.leafly.com/api/details/purple-goo,http://www.leafly.com/me/create/purple-goo,9.1,Euphoric,Stress,Get outdoors
134,purple-hashplant,Purple Hashplant,Hybrid,Php,,http://www.leafly.com/hybrid/purple-hashplant,http://www.leafly.com/api/details/purple-hashplant,http://www.leafly.com/me/create/purple-hashplant,8,Sleepy,Insomnia,Relax at home
